OBJECTID_1,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_34_1,Shape__Area,Shape__Length
1667,67150,KILTHOMAS, ,GALWAY,Gaillimh,Connacht,554296.0947,706869.2321,2AE19629233C13A3E055000000000001,27096,67150,Kilthomas,21511925.48,26708.15392
1670,67130,KILLERERIN, ,GALWAY,Gaillimh,Connacht,548189.3011,748625.1432,2AE1962922DB13A3E055000000000001,27204,67130,Killererin,22271037.81,22956.37294
1697,68010,MENLOUGH,Mionlach,GALWAY,Gaillimh,Connacht,529741.4643,728414.715,2AE19629237013A3E055000000000001,26010,68010,Mionlach,8382912.581,13686.16154
1705,67057,CLARINBRIDGE, ,GALWAY,Gaillimh,Connacht,539750.0418,721134.0912,2AE1962920F313A3E055000000000001,27049,67057,Clarinbridge,29371211.41,40201.57828
1722,68012,MURROOGH, ,GALWAY,Gaillimh,Connacht,533874.0066,724851.0371,2AE19629237213A3E055000000000001,26012,68012,Murroogh,2830779.348,10976.35686
1735,67163,LETTERMORE,Leitir Móir,GALWAY,Gaillimh,Connacht,489421.102,729282.9462,2AE19629236D13A3E055000000000001,27158,67163,Leitir Móir,15735560.04,41516.41531
1751,67179,MOYCULLEN,Maigh Cuilinn,GALWAY,Gaillimh,Connacht,523319.0092,730992.4368,2AE1962922D113A3E055000000000001,27059,67179,Maigh Cuilinn,27403331.2,28860.87194
1753,67045,CAPPALUSK, ,GALWAY,Gaillimh,Connacht,560994.651,734208.3024,2AE1962920BF13A3E055000000000001,27105,67045,Cappalusk,29641274.52,29108.48093
1764,67056,CLARETUAM, ,GALWAY,Gaillimh,Connacht,539073.8129,748330.6562,2AE1962920F213A3E055000000000001,27189,67056,Claretuam,29522524.34,25783.52528
1786,67185,OUGHTERARD, ,GALWAY,Gaillimh,Connacht,510860.0011,741371.1083,2AE1962922E013A3E055000000000001,27159,67185,Oughterard,119903615.2,59769.17697
1842,67151,KILTORMER, ,GALWAY,Gaillimh,Connacht,581105.5381,720127.9145,2AE19629233D13A3E055000000000001,27016,67151,Kiltormer,26492587.45,27978.60358
1847,67186,OWENGOWLA,Abhainn Ghabhla,GALWAY,Gaillimh,Connacht,485379.6556,738155.8059,2AE1962922E113A3E055000000000001,27035,67186,Abhainn Ghabhla,54018256.19,46341.24121
1855,67156,KYLEMORE, ,GALWAY,Gaillimh,Connacht,592112.4665,722499.734,2AE19629234D13A3E055000000000001,27017,67156,Kylemore,25498563.6,23594.80967
1891,68008,KNOCKNACARRAGH, ,GALWAY,Gaillimh,Connacht,526153.852,723717.2474,2AE19629236113A3E055000000000001,26008,68008,An Cnocán Carrach,1843989.182,10852.79647
1908,67111,ISLAND, ,GALWAY,Gaillimh,Connacht,562521.3625,772480.9657,2AE19629236A13A3E055000000000001,27073,67111,Island,19796996.22,26751.771
1927,67206,TEMPLETOGHER, ,GALWAY,Gaillimh,Connacht,558351.5341,769155.532,2AE19629232813A3E055000000000001,27079,67206,Templetogher,24553944.49,24469.39381
1949,67198,SHANKILL, ,GALWAY,Gaillimh,Connacht,564352.0829,754019.7473,2AE19629230A13A3E055000000000001,27078,67198,Shankill,18543326.51,22018.00025
1961,67085,DONAGHPATRICK, ,GALWAY,Gaillimh,Connacht,529577.0964,751497.4487,2AE19629231213A3E055000000000001,27193,67085,Donaghpatrick,16534089.67,19389.4372
1996,67059,CLIFDEN, ,GALWAY,Gaillimh,Connacht,463745.9139,752672.8981,2AE1962920F513A3E055000000000001,27025,67059,Clifden,34770571.33,55881.97197
2023,67117,KILCONIERIN, ,GALWAY,Gaillimh,Connacht,557284.8201,721924.6604,2AE19629239713A3E055000000000001,27117,67117,Kilconierin,19345941.62,25543.80236
2028,67141,KILMACSHANE, ,GALWAY,Gaillimh,Connacht,598931.0442,718801.5286,2AE19629231613A3E055000000000001,27015,67141,Kilmacshane,30105773.49,22183.7588
2046,67029,BALLYNAKILL, ,GALWAY,Gaillimh,Connacht,470573.8585,756386.5305,2AE19629208C13A3E055000000000001,27021,67029,Ballynakill,46012784.07,46819.37031
2048,67188,PORTUMNA, ,GALWAY,Gaillimh,Connacht,582698.0341,705444.8908,2AE1962922EC13A3E055000000000001,27175,67188,Portumna,48713650.37,34716.20122
2110,67069,CONG,Conga,GALWAY,Gaillimh,Connacht,506692.7037,751560.7678,2AE19629205613A3E055000000000001,27151,67069,Conga,91997799.71,58288.94205
2117,67019,BALLINDERRY, ,GALWAY,Gaillimh,Connacht,544091.3605,745810.0096,2AE19629205F13A3E055000000000001,27182,67019,Ballinderry,12918879.55,21737.88469
2159,67013,ATHENRY, ,GALWAY,Gaillimh,Connacht,550962.6481,727671.1412,2AE19629205013A3E055000000000001,27101,67013,Athenry,25650503,31875.88891
2191,68016,RENMORE, ,GALWAY,Gaillimh,Connacht,531857.9082,725204.5502,2AE19629237613A3E055000000000001,26016,68016,Renmore,821768.4319,4341.104625
2199,67062,CLONFERT, ,GALWAY,Gaillimh,Connacht,595048.6075,719898.0879,2AE19629210513A3E055000000000001,27007,67062,Clonfert,31322692.77,29874.44376
2203,67047,CARNMORE,An Carn Mór,GALWAY,Gaillimh,Connacht,538743.8196,730180.3203,2AE1962920CB13A3E055000000000001,27046,67047,An Carn Mór,19365423.94,21666.83839
2204,67153,KILTULLAGH, ,GALWAY,Gaillimh,Connacht,562673.5092,758598.6561,2AE19629234A13A3E055000000000001,27075,67153,Kiltullagh,16117500.86,25552.40629
2205,67120,KILCROAN, ,GALWAY,Gaillimh,Connacht,564779.9889,768915.6768,2AE1962923A313A3E055000000000001,27074,67120,Kilcroan,21886426.47,27674.74681
2215,68017,ROCKBARTON, ,GALWAY,Gaillimh,Connacht,527637.5476,724132.7593,2AE19629237713A3E055000000000001,26017,68017,Rockbarton,760641.207,3760.712892
2233,67135,KILLINNY, ,GALWAY,Gaillimh,Connacht,538580.4555,704222.6436,2AE1962922F513A3E055000000000001,27094,67135,Killinny,33281394.04,41458.50589
2250,67139,KILLURE, ,GALWAY,Gaillimh,Connacht,579270.1113,735031.625,2AE19629230613A3E055000000000001,27014,67139,Killure,36796165.77,36791.15267
2254,67012,ARDRAHAN, ,GALWAY,Gaillimh,Connacht,546803.1129,711949.3707,2AE19629205B13A3E055000000000001,27082,67012,Ardrahan,9824469.103,20697.94099
2268,67161,LETTERBRICKAUN,Leitir Breacáin,GALWAY,Gaillimh,Connacht,489196.8618,758150.2023,2AE19629236B13A3E055000000000001,27156,67161,Leitir Breacáin,58235695.49,39354.89049
2309,67166,LISHEENAVALLA,Lisín an Bhealaigh,GALWAY,Gaillimh,Connacht,542644.8738,732259.6209,2AE19629237F13A3E055000000000001,27058,67166,Lisín an Bhealaigh,17631164.68,18039.46619
2317,67028,BALLYNAKILL, ,GALWAY,Gaillimh,Connacht,568525.007,750473.9708,2AE19629208B13A3E055000000000001,27136,67028,Ballynakill,33727342.21,33882.4237
2323,67124,KILLALLAGHTAN, ,GALWAY,Gaillimh,Connacht,572067.4605,726772.8991,2AE1962923A713A3E055000000000001,27012,67124,Killallaghtan,31735952.61,29440.51833
2326,67213,TULLOKYNE,Tulaigh Mhic Aodháin,GALWAY,Gaillimh,Connacht,523151.7807,735225.9653,2AE19629234013A3E055000000000001,27065,67213,Tulaigh Mhic Aodháin,28714711.36,29471.96748
2340,67115,KILCHREEST, ,GALWAY,Gaillimh,Connacht,555855.4845,712117.481,2AE19629238B13A3E055000000000001,27115,67115,Kilchreest,23502298.63,26100.90076
2360,67094,ERRISLANNAN, ,GALWAY,Gaillimh,Connacht,464024.3204,746839.7726,2AE19629232C13A3E055000000000001,27030,67094,Errislannan,20635982.28,36004.78651
2406,68007,EYRE SQUARE, ,GALWAY,Gaillimh,Connacht,530275.247,725411.8216,2AE19629236013A3E055000000000001,26007,68007,Eyre Square,935030.3318,4694.274055
2424,67138,KILLOWER, ,GALWAY,Gaillimh,Connacht,535443.8876,745445.5647,2AE19629230513A3E055000000000001,27205,67138,Killower,32542952.95,38820.61467
2433,68020,St. NICHOLAS, ,GALWAY,Gaillimh,Connacht,529984.6055,726001.6515,2AE19629238413A3E055000000000001,26018,68020,Paróiste San Nicoláis,785666.9079,5437.015624
2451,67195,RYEHILL, ,GALWAY,Gaillimh,Connacht,551037.806,738691.5089,2AE19629230713A3E055000000000001,27213,67195,Ryehill,17391755.3,22960.20092
2482,68001,BALLYBAAN, ,GALWAY,Gaillimh,Connacht,534561.2576,726367.5587,2AE19629235A13A3E055000000000001,26001,68001,Ballybaan,7377005.709,13048.50663
2484,67203,SPIDDLE,An Spidéal,GALWAY,Gaillimh,Connacht,514793.4735,726399.8321,2AE19629231A13A3E055000000000001,27063,67203,An Spidéal,35539079.45,34992.93624
2491,67133,KILLIMOR, ,GALWAY,Gaillimh,Connacht,580100.5074,713164.7675,2AE1962922EA13A3E055000000000001,27169,67133,Killimor,24446975.69,32241.23547
2493,67162,LETTERFORE, ,GALWAY,Gaillimh,Connacht,501858.0769,746821.9041,2AE19629236C13A3E055000000000001,27157,67162,Letterfore,90212247.58,55524.54176
2514,67207,TIAQUIN, ,GALWAY,Gaillimh,Connacht,555550.8967,734831.4989,2AE19629233213A3E055000000000001,27133,67207,Tiaquin,22268961.24,30174.19341
2520,67033,BEAGH, ,GALWAY,Gaillimh,Connacht,542361.9103,697271.7188,2AE19629209913A3E055000000000001,27084,67033,Beagh,35677946.75,33661.42537
2521,67055,CLAREGALWAY,Baile Chláir,GALWAY,Gaillimh,Connacht,535153.562,733945.2843,2AE1962920E213A3E055000000000001,27048,67055,Baile Chláir,27408115.49,37086.64608
2530,68002,BALLYBRIT, ,GALWAY,Gaillimh,Connacht,533296.1483,727683.3932,2AE19629235B13A3E055000000000001,26002,68002,Baile an Bhriotaihg,2445645.597,6172.814619
2538,67176,MOUNT BELLEW, ,GALWAY,Gaillimh,Connacht,563803.8672,747856.4311,2AE1962923AA13A3E055000000000001,27146,67176,Mount Bellew,43875376.82,42335.00353
2552,67103,GRAIGABBEY, ,GALWAY,Gaillimh,Connacht,554237.3778,730984.524,2AE19629234713A3E055000000000001,27112,67103,Graigabbey,12603397.68,20597.77848
2571,67030,BALLYNAKILL, ,GALWAY,Gaillimh,Connacht,572390.7134,765622.0107,2AE19629208D13A3E055000000000001,27068,67030,Ballynakill,29644130.35,28489.61511
2604,67049,CARROWNAGUR, ,GALWAY,Gaillimh,Connacht,554163.9291,761143.2323,2AE1962920CD13A3E055000000000001,27187,67049,Carrownagur,29863541.2,38731.59756
2637,67192,RINVYLE, ,GALWAY,Gaillimh,Connacht,471562.3745,761154.0425,2AE1962922FA13A3E055000000000001,27036,67192,Rinvyle,55398039.86,51256.03112
2650,67100,GLENNAMADDY, ,GALWAY,Gaillimh,Connacht,565110.0698,761374.7605,2AE19629233A13A3E055000000000001,27072,67100,Glennamaddy,31461976.83,31229.71844
2656,67026,BALLYNACOURTY, ,GALWAY,Gaillimh,Connacht,535529.9191,719881.527,2AE19629207F13A3E055000000000001,27043,67026,Ballynacourty,15401142.07,45704.69003
2658,67116,KILCONICKNY, ,GALWAY,Gaillimh,Connacht,556572.3502,717662.4562,2AE19629238C13A3E055000000000001,27116,67116,Kilconickny,15797146.77,22667.45136
2662,68022,WELLPARK, ,GALWAY,Gaillimh,Connacht,531593.4123,726368.6637,2AE19629238613A3E055000000000001,26022,68022,Wellpark,780085.5126,4215.744065
2664,67089,DRUMACOO, ,GALWAY,Gaillimh,Connacht,539778.0676,716328.8259,2AE19629231F13A3E055000000000001,27089,67089,Drumacoo,20311949.64,28681.47107
2685,67147,KILSHANVY, ,GALWAY,Gaillimh,Connacht,533858.1931,756845.684,2AE19629233013A3E055000000000001,27208,67147,Kilshanvy,20448439.66,26757.69913
2697,68005,CLADDAGH, ,GALWAY,Gaillimh,Connacht,529401.3598,724449.9079,2AE19629235E13A3E055000000000001,26005,68005,Claddagh,716165.2556,3645.898961
2707,67032,BARNA,Bearna,GALWAY,Gaillimh,Connacht,523572.8351,726223.1466,2AE19629209813A3E055000000000001,27044,67032,Bearna (Part Rural),23571735.79,29422.7603
2719,68004,CASTLEGAR, ,GALWAY,Gaillimh,Connacht,531599.205,727992.7919,2AE19629235D13A3E055000000000001,26004,68004,An Caisleán Gearr,3868360.348,11152.89908
2721,67172,MEELICK, ,GALWAY,Gaillimh,Connacht,591780.0098,714173.5088,2AE19629239A13A3E055000000000001,27172,67172,Meelick,25899735.39,26296.92593
2728,67190,RAHASANE, ,GALWAY,Gaillimh,Connacht,547231.2814,717172.4334,2AE1962922F813A3E055000000000001,27098,67190,Rahasane,15685664.24,22539.66044
2748,67144,KILMOYLAN, ,GALWAY,Gaillimh,Connacht,543182.4747,740754.6277,2AE19629232413A3E055000000000001,27207,67144,Kilmoylan,22668362.38,31939.81283
2763,67216,WOODFORD, ,GALWAY,Gaillimh,Connacht,572343.395,699397.9269,2AE19629235013A3E055000000000001,27134,67216,Woodford,23327937.8,25401.20601
2769,67170,LOUGHREA URBAN, ,GALWAY,Gaillimh,Connacht,561780.7898,716663.7737,2AE19629238E13A3E055000000000001,27128,67170,Loughrea Urban,5341719.92,8831.357222
2822,67061,CLONBROCK, ,GALWAY,Gaillimh,Connacht,574928.8281,740333.9296,2AE19629210413A3E055000000000001,27140,67061,Clonbrock,33711053.08,37274.59805
2828,67083,DERRYLAUR, ,GALWAY,Gaillimh,Connacht,559812.9399,701996.1139,2AE19629231013A3E055000000000001,27110,67083,Derrylaur,40675149.45,28053.00393
2843,67010,ANNAGHDOWN, ,GALWAY,Gaillimh,Connacht,536752.1289,740892.622,2AE19629205913A3E055000000000001,27181,67010,Annaghdown,22477383.01,33620.0668
2914,67066,CLOONKEEN, ,GALWAY,Gaillimh,Connacht,557232.2789,729285.6785,2AE19629205313A3E055000000000001,27107,67066,Cloonkeen,21024535.35,24421.61592
2934,67105,GREETHILL, ,GALWAY,Gaillimh,Connacht,547523.4017,725915.8825,2AE19629235413A3E055000000000001,27114,67105,Greethill,23327923.3,29335.00576
2953,67106,HEADFORD, ,GALWAY,Gaillimh,Connacht,527156.5081,747354.2006,2AE19629235513A3E055000000000001,27198,67106,Headford,20217547.15,21905.7374
2970,67024,BALLYMACWARD, ,GALWAY,Gaillimh,Connacht,566714.208,736394.5091,2AE19629207613A3E055000000000001,27006,67024,Ballymacward,17472522.35,20442.11667
2976,67078,CUSHKILLARY, ,GALWAY,Gaillimh,Connacht,480342.2201,759601.4352,2AE19629230013A3E055000000000001,27026,67078,Cushkillary,63844860.52,59325.1776
2983,67042,CAHERMORE, ,GALWAY,Gaillimh,Connacht,542094.1259,708715.484,2AE1962920B213A3E055000000000001,27085,67042,Cahermore,21906162.29,31178.17461
3005,67202,SLIEVEANEENA,Sliabh an Aonaigh,GALWAY,Gaillimh,Connacht,515912.2077,733252.9572,2AE19629231913A3E055000000000001,27062,67202,Sliabh an Aonaigh,57663884.42,51087.92301
3014,67113,KILBEACANTY, ,GALWAY,Gaillimh,Connacht,550643.5018,699679.7964,2AE19629237C13A3E055000000000001,27091,67113,Kilbeacanty,18230681.67,21500.26675
3015,67008,ANNAGH, ,GALWAY,Gaillimh,Connacht,570625.6326,738559.0243,2AE19629204E13A3E055000000000001,27135,67008,Annagh,23022607.64,22581.01542
3024,67134,KILLIMOR, ,GALWAY,Gaillimh,Connacht,561874.4677,729631.6802,2AE1962922F413A3E055000000000001,27118,67134,Killimor,26180675.49,31371.69322
3026,67031,BALLYNAPARK, ,GALWAY,Gaillimh,Connacht,546899.2171,743599.9731,2AE19629208E13A3E055000000000001,27184,67031,Ballynapark,20528733.95,30498.4819
3036,67154,KINVARRA, ,GALWAY,Gaillimh,Connacht,535697.4725,708621.9858,2AE19629234B13A3E055000000000001,27097,67154,Kinvarra,32950576.11,35953.69886
3053,68006,DANGAN, ,GALWAY,Gaillimh,Connacht,528365.7545,726823.4826,2AE19629235F13A3E055000000000001,26006,68006,Dangan,1423308.578,5585.56287
3066,67005,ADDERGOOLE, ,GALWAY,Gaillimh,Connacht,544696.8529,765960.1102,2AE19629204613A3E055000000000001,27180,67005,Addergoole,24878016.96,24242.09313
3067,67025,BALLYMOE, ,GALWAY,Gaillimh,Connacht,568336.0872,771591.462,2AE19629207E13A3E055000000000001,27067,67025,Ballymoe,21841312.89,24647.71757
3097,67155,KNOCKBOY,An Cnoc Buí,GALWAY,Gaillimh,Connacht,476412.6803,733767.5454,2AE19629234C13A3E055000000000001,27033,67155,An Cnoc Buí,35480223.47,61863.88296
3103,67007,AILLE, ,GALWAY,Gaillimh,Connacht,559215.3036,710492.1452,2AE19629204D13A3E055000000000001,27100,67007,Aille,32577229.77,32972.03327
3112,67123,KILLAAN, ,GALWAY,Gaillimh,Connacht,568137.6707,731252.9981,2AE1962923A613A3E055000000000001,27011,67123,Killaan,33733587.28,27745.84039
3136,67034,BEAGHMORE, ,GALWAY,Gaillimh,Connacht,533306.666,752947.5191,2AE1962920A313A3E055000000000001,27185,67034,Beaghmore,18616659.56,18613.1763
3141,67041,BUNOWEN, ,GALWAY,Gaillimh,Connacht,464009.6833,742563.0062,2AE1962920B113A3E055000000000001,27023,67041,Bunowen,29317005.32,39819.18857
3145,67079,DEERPARK, ,GALWAY,Gaillimh,Connacht,545057.1867,737263.1719,2AE19629230113A3E055000000000001,27050,67079,Deerpark,18469277.2,21640.03939
3156,67020,BALLINDUFF, ,GALWAY,Gaillimh,Connacht,530608.3287,743012.2118,2AE19629206813A3E055000000000001,27183,67020,Ballinduff,14853657.93,19656.4708
3157,67009,ANNAGHDOWN,Eanach Dhúin,GALWAY,Gaillimh,Connacht,529940.5381,736808.1469,2AE19629204F13A3E055000000000001,27040,67009,Eanach Dhúin,48052228.07,33068.8625
3170,67214,TURLOUGH,An Turlach,GALWAY,Gaillimh,Connacht,493053.4858,740377.5051,2AE19629234113A3E055000000000001,27161,67214,An Turlach,63118756.67,70142.53114
3174,67167,LISMANNY, ,GALWAY,Gaillimh,Connacht,587645.9388,724307.6531,2AE19629238013A3E055000000000001,27019,67167,Lismanny,22009372.55,28151.8539
3177,67126,KILLEANY, ,GALWAY,Gaillimh,Connacht,527419.6048,742966.7412,2AE1962922CD13A3E055000000000001,27202,67126,Killeany,19970329.92,24041.34174
3179,67119,KILCOONA, ,GALWAY,Gaillimh,Connacht,532038.6038,747637.5707,2AE19629239913A3E055000000000001,27201,67119,Kilcoona,19775767.08,25799.296
3195,67182,MOYRUS,Maíros,GALWAY,Gaillimh,Connacht,483899.0438,744586.1822,2AE1962922DD13A3E055000000000001,27034,67182,Maíros,88139742.56,65854.76618
3212,68009,LOUGH ATALIA, ,GALWAY,Gaillimh,Connacht,531048.9787,725438.1447,2AE19629236F13A3E055000000000001,26009,68009,Lough Atalia,1221514.693,5309.357658
3234,67102,GORUMNA,Garmna,GALWAY,Gaillimh,Connacht,487182.6087,723504.5235,2AE19629234613A3E055000000000001,27154,67102,Garmna,29630879.38,51619.62728
3248,67158,LACKALEA, ,GALWAY,Gaillimh,Connacht,560962.9842,720491.1888,2AE19629235713A3E055000000000001,27124,67158,Lackalea,12427768.34,21182.94692
3251,67180,MOYNE, ,GALWAY,Gaillimh,Connacht,554635.6782,745876.0362,2AE1962922D213A3E055000000000001,27212,67180,Moyne,20384090.34,26593.27902
3284,67073,CREGGS, ,GALWAY,Gaillimh,Connacht,572520.6967,759679.1268,2AE1962922F013A3E055000000000001,27070,67073,Creggs,33861720.95,29843.09046
3285,67211,TUAM RURAL, ,GALWAY,Gaillimh,Connacht,543772.4811,751811.5545,2AE19629233E13A3E055000000000001,27215,67211,Tuam Rural,35026637.55,42756.86702
3287,67209,TOBERADOSH, ,GALWAY,Gaillimh,Connacht,554553.7689,765981.5946,2AE19629233413A3E055000000000001,27214,67209,Toberadosh,19922581.13,27050.19265
3299,67149,KILTESKILL, ,GALWAY,Gaillimh,Connacht,565028.415,711066.8554,2AE19629233B13A3E055000000000001,27122,67149,Kilteskill,20453653.33,21572.47171
3314,67021,BALLINTEMPLE,Baile an Teampaill,GALWAY,Gaillimh,Connacht,535442.5067,728412.3596,2AE19629206913A3E055000000000001,27042,67021,Baile an Teampaill (Part Rural),15044724.44,24782.67569
3317,67205,TAGHBOY, ,GALWAY,Gaillimh,Connacht,580711.1883,744910.6386,2AE19629232713A3E055000000000001,27148,67205,Taghboy,25784688.91,27478.29375
3372,68018,SALTHILL, ,GALWAY,Gaillimh,Connacht,528341.8383,724344.7079,2AE19629238213A3E055000000000001,26019,68018,Salthill,849268.639,4104.16711
3375,67189,RAFORD, ,GALWAY,Gaillimh,Connacht,561470.7947,724309.0165,2AE1962922ED13A3E055000000000001,27132,67189,Raford,15554163.91,20803.82412
3382,67098,GALWAY RURAL, ,GALWAY,Gaillimh,Connacht,527513.9906,730253.8393,2AE19629233913A3E055000000000001,27052,67098,Galway Rural (Part Rural),10289360.07,17790.70961
3384,68021,TAYLORS HILL, ,GALWAY,Gaillimh,Connacht,528195.7197,725048.6845,2AE19629238513A3E055000000000001,26021,68021,Taylors Hill,758863.5054,4300.203876
